SiO2,Na2O,Al2O3,CaO,TiO2,MgO,P2O5,B2O3,Li2O,Er2O3,K2O,Yb2O3,MnO,Fe2O3,Load,T_annealing,TIME,Hardness,PII,Remarks
20,0,28.39,51.62,0,0,0,0,0,0,0,0,0,0,100,843,0.5,8150000000,S002230931530137X,
0,0,25.48,64.52,0,10,0,0,0,0,0,0,0,0,100,820,0.5,8500000000,S002230931530137X,
7.89,0,27.11,58.11,0,6.89,0,0,0,0,0,0,0,0,200,841,12,8480000000,S0022309300001332,
7.96,0,27.15,57.77,0,6.95,0,0,0,0,0,0.17,0,0,200,813,12,8200000000,S0022309300001332,
8.04,0,26.06,58.35,0,7.02,0,0,0,0,0,0.53,0,0,200,803,12,7980000000,S0022309300001332,
8.12,0,24.97,58.94,0,7.09,0,0,0,0,0,0.88,0,0,200,788,12,7910000000,S0022309300001332,
8.24,0,27.68,59.25,0,4.74,0,0,0,0.09,0,0,0,0,200,821,12,8350000000,S0022309300001332,
7.95,0,26.99,57.94,0,6.94,0,0,0,0.18,0,0,0,0,200,817,12,8140000000,S0022309300001332,
8.03,0,26.94,57.83,0,6.83,0,0,0,0.37,0,0,0,0,200,822,12,8080000000,S0022309300001332,
8.1,0,25.54,58.69,0,6.94,0,0,0,0.73,0,0,0,0,200,798,12,7990000000,S0022309300001332,
8.19,0,24.44,59.35,0,7.02,0,0,0,1,0,0,0,0,200,791,12,7840000000,S0022309300001332,
8.21,0,23.84,59.54,0,7.16,0,0,0,1.25,0,0,0,0,200,787,12,7770000000,S0022309300001332,
8.24,0,23.26,59.83,0,7.2,0,0,0,1.48,0,0,0,0,200,782,12,7650000000,S0022309300001332,
8.12,0,24.96,58.93,0,7.09,0,0,0,0.37,0,0.53,0,0,200,794,12,7690000000,S0022309300001332,
8.16,0,24.4,59.23,0,7.13,0,0,0,0.37,0,0.71,0,0,200,790,12,7600000000,S0022309300001332,
8.02,0,26.34,58.2,0,7,0,0,0,0.09,0,0.35,0,0,200,807,12,7990000000,S0022309300001332,
8.04,0,26.06,58.34,0,7.03,0,0,0,0.18,0,0.35,0,0,200,798,12,7950000000,S0022309300001332,
7.06,0,25.52,58.63,0,8.08,0,0,0,0.36,0,0.35,0,0,200,792,12,7920000000,S0022309300001332,
8.12,0,24.96,58.92,0,7.09,0,0,0,0.55,0,0.35,0,0,200,798,12,7880000000,S0022309300001332,
8.16,0,24.39,59.23,0,7.13,0,0,0,0.74,0,0.35,0,0,200,791,12,7820000000,S0022309300001332,
8.21,0,23.81,59.53,0,7.17,0,0,0,0.93,0,0.35,0,0,200,785,12,7790000000,S0022309300001332,
60,0,0,0,0,0,0,0,40,0,0,0,0,0,200,461,2,5400000000,S0022309312002013,
60,10,0,0,0,0,0,0,30,0,0,0,0,0,200,407,2,6200000000,S0022309312002013,
60,20,0,0,0,0,0,0,20,0,0,0,0,0,200,392,2,6300000000,S0022309312002013,
60,30,0,0,0,0,0,0,10,0,0,0,0,0,200,386,2,5600000000,S0022309312002013,
60,40,0,0,0,0,0,0,0,0,0,0,0,0,200,444,2,4250000000,S0022309312002013,
0,0,8,0,0,0,46,0,46,0,0,0,0,0,200,396,2,4400000000,S0022309312002013,
0,11.5,8,0,0,0,46,0,34.5,0,0,0,0,0,200,358,2,4800000000,S0022309312002013,
0,23,8,0,0,0,46,0,23,0,0,0,0,0,200,344,2,5100000000,S0022309312002013,
0,34.5,8,0,0,0,46,0,11.5,0,0,0,0,0,200,352,2,4500000000,S0022309312002013,
0,46,8,0,0,0,46,0,0,0,0,0,0,0,200,374,2,3400000000,S0022309312002013,
0,0,0,0,0,0,0,70,30,0,0,0,0,0,200,496,2,5100000000,S0022309312002013,
0,7.5,0,0,0,0,0,70,22.5,0,0,0,0,0,200,464,2,5400000000,S0022309312002013,
0,15,0,0,0,0,0,70,15,0,0,0,0,0,200,402,2,5750000000,S0022309312002013,
0,22.5,0,0,0,0,0,70,7.5,0,0,0,0,0,200,453,2,5700000000,S0022309312002013,
0,30,0,0,0,0,0,70,0,0,0,0,0,0,200,484,2,4800000000,S0022309312002013,
57.3,0,19,0,9.1,14.6,0,0,0,0,0,0,0,0,200,800,3,6900000000,S002230930200950X,
86,10,0,0,4,0,0,0,0,0,0,0,0,0,500,600,2,6300000000,S0022309315301873,
83,10,0,0,7,0,0,0,0,0,0,0,0,0,500,600,2,4800000000,S0022309315301873,
80,10,0,0,10,0,0,0,0,0,0,0,0,0,500,600,2,5300000000,S0022309315301873,
81,15,0,0,4,0,0,0,0,0,0,0,0,0,500,600,2,6200000000,S0022309315301873,
78,15,0,0,7,0,0,0,0,0,0,0,0,0,500,600,2,4900000000,S0022309315301873,
75,15,0,0,10,0,0,0,0,0,0,0,0,0,500,600,2,5200000000,S0022309315301873,
76,20,0,0,4,0,0,0,0,0,0,0,0,0,500,600,2,4400000000,S0022309315301873,
73,20,0,0,7,0,0,0,0,0,0,0,0,0,500,600,2,5000000000,S0022309315301873,
70,20,0,0,10,0,0,0,0,0,0,0,0,0,500,600,2,5000000000,S0022309315301873,
71,25,0,0,4,0,0,0,0,0,0,0,0,0,500,600,2,4200000000,S0022309315301873,
68,25,0,0,7,0,0,0,0,0,0,0,0,0,500,600,2,4600000000,S0022309315301873,
65,25,0,0,10,0,0,0,0,0,0,0,0,0,500,600,2,4700000000,S0022309315301873,
